player_id,name,home,away,date_recorded,time_recorded,date_game,odds
,travis konecny,PHI,OTT,2024-01-21,09:04:56,2024-01-21,130
,brady tkachuk,PHI,OTT,2024-01-21,09:04:56,2024-01-21,135
,sean couturier,PHI,OTT,2024-01-21,09:04:56,2024-01-21,185
,tim stutzle,PHI,OTT,2024-01-21,09:04:56,2024-01-21,190
,drake batherson,PHI,OTT,2024-01-21,09:04:56,2024-01-21,195
,claude giroux,PHI,OTT,2024-01-21,09:04:56,2024-01-21,200
,joel farabee,PHI,OTT,2024-01-21,09:04:56,2024-01-21,215
,cam atkinson,PHI,OTT,2024-01-21,09:04:56,2024-01-21,220
,vladimir tarasenko,PHI,OTT,2024-01-21,09:04:56,2024-01-21,265
,morgan frost,PHI,OTT,2024-01-21,09:04:56,2024-01-21,295
,tyson foerster,PHI,OTT,2024-01-21,09:04:56,2024-01-21,295
,scott laughton,PHI,OTT,2024-01-21,09:04:56,2024-01-21,330
,ridly greig,PHI,OTT,2024-01-21,09:04:56,2024-01-21,350
,mathieu joseph,PHI,OTT,2024-01-21,09:04:56,2024-01-21,400
,dominik kubalik,PHI,OTT,2024-01-21,09:04:56,2024-01-21,425
,bobby brink,PHI,OTT,2024-01-21,09:04:56,2024-01-21,475
,jakob chychrun,PHI,OTT,2024-01-21,09:04:56,2024-01-21,500
,noah cates,PHI,OTT,2024-01-21,09:04:56,2024-01-21,550
,ryan poehling,PHI,OTT,2024-01-21,09:04:56,2024-01-21,600
,garnet hathaway,PHI,OTT,2024-01-21,09:04:56,2024-01-21,600
,parker kelly,PHI,OTT,2024-01-21,09:04:56,2024-01-21,600
,thomas chabot,PHI,OTT,2024-01-21,09:04:56,2024-01-21,600
,jake sanderson,PHI,OTT,2024-01-21,09:04:56,2024-01-21,650
,rourke chartier,PHI,OTT,2024-01-21,09:04:56,2024-01-21,700
,travis sanheim,PHI,OTT,2024-01-21,09:04:56,2024-01-21,750
,jamie drysdale,PHI,OTT,2024-01-21,09:04:56,2024-01-21,800
,mark kastelic,PHI,OTT,2024-01-21,09:04:56,2024-01-21,850
,nicolas deslauriers,PHI,OTT,2024-01-21,09:04:56,2024-01-21,900
,cameron york,PHI,OTT,2024-01-21,09:04:56,2024-01-21,950
,artyom zub,PHI,OTT,2024-01-21,09:04:56,2024-01-21,1100
